BR_CODE,P_CODE,P_NAME,BAL_QTY,MRP,NET_SALE_RATE,GEN_DATE
RKDA,47682,SANTOOR CLASSIC H/W 750 ML,13,99,97.02,24-Sep-23
RKDA,61243,SANTOOR HANDY POWDER H/W REFI,77,10,9.9,24-Sep-23
RKDA,57463,SANTOOR MILD H/W 750M,17,99,98.01,24-Sep-23
RKDA,913,SANTOOR ROYAL SAN SOAP 75GM,8,40,39.6,24-Sep-23
RKDA,38335,SANTOOR S-T-O  SOAP 100,30,35,34.65,24-Sep-23
RKDA,11169,SANTOOR S-T-O SOAP4*100G,36,136,134.64,24-Sep-23
RKDA,38983,SANTOOR SAN & TUR COM 3*150GM,9,180,155,24-Sep-23
RKDA,9754,SANTOOR SAN SOAP 3*125G (3+1),18,199,189,24-Sep-23
RKDA,3075,SANTOOR SANDAL SOAP 4*52 GM,71,40,39.6,24-Sep-23
RKDA,3497,SANTOOR SOAP 150 GM,10,54,53.46,24-Sep-23
RKDA,50566,SANTOOR WHITE SOAP 100GM*4,15,132,129.36,24-Sep-23
RKDA,43990,SAPTASHAKTI TIL OIL 1LTR,8,380,280,24-Sep-23
RKDA,43991,SAPTASHAKTI TIL OIL 500 ML,11,200,160,24-Sep-23
RKDA,58821,SAVLON ANTICEPTIC LIQUID 500M,4,170,168.3,24-Sep-23
RKDA,59076,SAVLON H/W COMBI 2*725ML,1,198,196.02,24-Sep-23
RKDA,31540,SCENTON AIR FRESHER 50GM CB,11,47,46.53,24-Sep-23
RKDA,24350,SCENTON ROYAL AIR FRESH.100G,10,72,71.28,24-Sep-23
RKDA,12651,SCENTON SANITARY CUBES 100 G,13,70,69.3,24-Sep-23
RKDA,12172,SCENTON SANITARY CUBES 150 G,11,94,93.06,24-Sep-23
RKDA,1861,SCO BR SIL SPARK PAD 9.5X14CM,7,95,94.05,24-Sep-23
RKDA,43958,SCO BRI SCUB NET SPONG 11*7CM,20,50,49.5,24-Sep-23
RKDA,60201,SCO BRI SIL SPARK 7X7.5 CM 2P,41,18,17.82,24-Sep-23
RKDA,60203,SCO BRI SIL SPARK PAD 9.5X14C,24,35,34.65,24-Sep-23
RKDA,43851,SCOT BRI ANT NEEM SRUB PAD 3N,7,55,54.45,24-Sep-23
RKDA,8560,SCOTCH BR SUPER STRONG 7X7.5C,11,40,39.6,24-Sep-23
RKDA,8559,SCOTCH BR SUPER STRONGE 9X7.5,9,50,49.5,24-Sep-23
RKDA,55655,SCOTCH BRI POW SCRUB 10X8 CM,10,55,54.45,24-Sep-23
RKDA,43850,SCOTCH BRI SCRUB SPONGE 3M 2N,11,65,64.35,24-Sep-23
RKDA,24191,SCOTCH BRI SIL SPARK (3+1) 4N,88,40,39.6,24-Sep-23
RKDA,1865,SCOTCH BRI SIL SPARK 7X7.5 CM,24,10,9.9,24-Sep-23
RKDA,1864,SCOTCH BRI SIL SPARK PAD 7X10,33,15,14.85,24-Sep-23
RKDA,42219,SCOTCH BRI SPONGE WIPE (3+1),3,215,212.85,24-Sep-23
RKDA,8961,SCOTCH BRI SRUB SPONGE (SMLL),23,25,24.75,24-Sep-23
RKDA,39798,SCOTCH BRITE JET SCRUBBER 1P,1,150,148.5,24-Sep-23
