Handle,Title,Option1 Name,Option1 Value,Option2 Name,Option2 Value,Option3 Name,Option3 Value,SKU,HS Code,COO,Location,Incoming,Unavailable,Committed,Available,On hand
chings-secret-schezwan-chutney-40-g-pouch-12,CHING'S SCHEZWAN CHUTNEY 50 G || S2,Title,Default Title,,,,,42584,,,2 RKBB 421503 Badlapur Belavali,0,0,0,217,217
chings-secret-schezwan-chutney-40-g-pouch-13,CHING'S SCHEZWAN CHUTNEY 50 G || S3,Title,Default Title,,,,,42584,,,3- 400612 RKDA - Diva,0,0,0,105,105
godrej-expert-rich-natural-black-hair-colour-cream-20-g-2,GODREJ EXPERT RICH NATURAL BLACK HAIR COLOUR CREAM 20 G || S2,Title,Default Title,,,,,42625,,,2 RKBB 421503 Badlapur Belavali,0,0,0,10,10
good-knight-advanced-activ-cartridge-twin-saver-pack-pack-of-4,GOOD KNIGHT ADVANCED ACTIV+ CARTRIDGE TWIN SAVER PACK (PACK OF 2) || S2,Title,Default Title,,,,,42694,,,2 RKBB 421503 Badlapur Belavali,0,0,0,27,27
colgate-gentle-sensitive-ultra-soft-toothbrush-1-n-2,COLGATE GENTLE SENSITIVE ULTRA SOFT TOOTHBRUSH 1 N || S2,Title,Default Title,,,,,42721,,,2 RKBB 421503 Badlapur Belavali,0,0,0,15,15
ariel-detergent-powder-matic-front-load-500-g-2,ARIEL DETERGENT POWDER - MATIC FRONT LOAD 500 G || S2,Title,Default Title,,,,,42735,,,2 RKBB 421503 Badlapur Belavali,0,0,0,21,21
fortune-rice-bran-oil-15-l-jar-1,FORTUNE RICE BRAN OIL 15 L JAR || S1,Title,Default Title,,,,,42737,,,1 Dombivli East (RKM),0,0,0,1,1
bliss-rosa-air-pocket-10-gm-2,BLISS ROSA AIR POCKET 10 GM || S2,Title,Default Title,,,,,42789,,,2 RKBB 421503 Badlapur Belavali,0,0,0,3,3
bliss-rosa-air-pocket-10-gm-3,BLISS ROSA AIR POCKET 10 GM || S3,Title,Default Title,,,,,42789,,,3- 400612 RKDA - Diva,0,0,0,9,9
bru-instant-coffee-100-g-s2,BRU INSTANT COFFEE 100 G || S2,Title,Default Title,,,,,42797,,,2 RKBB 421503 Badlapur Belavali,0,0,0,4,4
ariel-complete-detergent-washing-powder-500-200-g-2,ARIEL COMPLETE DETERGENT WASHING POWDER - 500+200 G || S2,Title,Default Title,,,,,42800,,,2 RKBB 421503 Badlapur Belavali,0,0,0,4,4
ariel-complete-detergent-washing-powder-500-200-g-1,ARIEL COMPLETE DETERGENT WASHING POWDER - 500+200 G || S1,Title,Default Title,,,,,42800,,,1 Dombivli East (RKM),0,0,0,10,10
amul-butter-gar-herb-100g-3,AMUL BUTTER GAR & HERB 100G || S3,Title,Default Title,,,,,42931,,,3- 400612 RKDA - Diva,0,0,0,12,12
lijjat-papad-udad-mini-500-g-pack-2,LIJJAT PAPAD URAD MINI 500 G PACK || S2,Title,Default Title,,,,,42932,,,2 RKBB 421503 Badlapur Belavali,0,0,0,1,1
lijjat-papad-udad-mini-500-g-pack-1,LIJJAT PAPAD URAD MINI 500 G PACK || S3,Title,Default Title,,,,,42932,,,3- 400612 RKDA - Diva,0,0,0,31,31
cycle-goodluck-kasturi-agarbatti-150-g-2,CYCLE GOODLUCK KASTURI AGARBATTI 150 G || S2,Title,Default Title,,,,,42955,,,2 RKBB 421503 Badlapur Belavali,0,0,0,22,22
cycle-good-luck-champa-agarbathi-135-gm-3,CYCLE GOOD LUCK CHAMPA AGARBATTI 135 G || S2,Title,Default Title,,,,,42958,,,2 RKBB 421503 Badlapur Belavali,0,0,0,11,11
oreo-strawberry-creme-biscuits-50-g-1,OREO STRAWBERRY CREME BISCUITS 44 G || S1,Title,Default Title,,,,,42998,,,1 Dombivli East (RKM),0,0,0,84,84
amul-cow-ghee-1-l-r-12,AMUL COW GHEE 1 LTR || S2,Title,Default Title,,,,,43038,,,2 RKBB 421503 Badlapur Belavali,0,0,0,22,22
amul-cow-ghee-1-l-r-11,AMUL COW GHEE 1 LTR || S3,Title,Default Title,,,,,43038,,,3- 400612 RKDA - Diva,0,0,0,2,2
classy-spicy-100-g-turmeric-powder-3,CLASSY SPICY 100 G TURMERIC POWDER || S3,Title,Default Title,,,,,43040,,,3- 400612 RKDA - Diva,0,0,0,12,12
parle-g-gold-200-g-3,PARLE G GOLD 200 G || S3,Title,Default Title,,,,,43043,,,3- 400612 RKDA - Diva,0,0,0,48,48
parle-g-gold-200-g-1,PARLE G GOLD 200 G || S1,Title,Default Title,,,,,43043,,,1 Dombivli East (RKM),0,0,0,10,10
active-wheel-2-in-1-clean-fresh-detergent-bar-100-g-2,ACTIVE WHEEL 2 IN 1 CLEAN & FRESH DETERGENT BAR 100 G || S2,Title,Default Title,,,,,43057,,,2 RKBB 421503 Badlapur Belavali,0,0,0,120,120
active-wheel-2-in-1-clean-fresh-detergent-bar-100-g-1,ACTIVE WHEEL 2 IN 1 CLEAN & FRESH DETERGENT BAR 100 G || S1,Title,Default Title,,,,,43057,,,1 Dombivli East (RKM),0,0,0,121,121
parle-g-gold-biscuits-100-g-2,"PARLE G GOLD BISCUITS, 100 G || S2",Title,Default Title,,,,,43077,,,2 RKBB 421503 Badlapur Belavali,0,0,0,89,89
parle-g-gold-biscuits-100-g-3,"PARLE G GOLD BISCUITS, 100 G || S3",Title,Default Title,,,,,43077,,,3- 400612 RKDA - Diva,0,0,0,17,17
lizol-disinfectant-surface-floor-cleaner-liquid-citrus-975-ml-1,"LIZOL DISINFECTANT SURFACE & FLOOR CLEANER LIQUID, CITRUS - 975 ML || S1",Title,Default Title,,,,,43134,,,1 Dombivli East (RKM),0,0,0,3,3
lotte-choco-pie-pack-of-12-336-g-1,"LOTTE CHOCO PIE (PACK OF 12), 336 G || S1",Title,Default Title,,,,,43137,,,1 Dombivli East (RKM),0,0,0,5,5
appy-apple-juice-drink-125-ml-1,APPY APPLE JUICE DRINK 125 ML || S3,Title,Default Title,,,,,43177,,,3- 400612 RKDA - Diva,0,0,0,93,93
r-k-jwari-atta-500-gm-2,R.K.JWARI ATTA 500 G || S2,Title,Default Title,,,,,43231,,,2 RKBB 421503 Badlapur Belavali,0,0,0,15,15
r-k-jwari-atta-500-gm-1,R.K.JWARI ATTA 500 G || S1,Title,Default Title,,,,,43231,,,1 Dombivli East (RKM),0,0,0,18,18
r-k-bajari-atta-500gm-2,R.K.BAJRA ATTA 500 G || S2,Title,Default Title,,,,,43232,,,2 RKBB 421503 Badlapur Belavali,0,0,0,20,20
r-k-bajari-atta-500gm-1,R.K.BAJRA ATTA 500 G || S1,Title,Default Title,,,,,43232,,,1 Dombivli East (RKM),0,0,0,5,5
liquid-fabric-softener-3,COMFORT GREEN LIQUID 210 ML || S1,Title,Default Title,,,,,43247,,,1 Dombivli East (RKM),0,0,0,13,13
atta-flours-sooji-2,FORTUNE CHANA BESAN 1 KG POUCH || S3,Title,Default Title,,,,,43278,,,3- 400612 RKDA - Diva,0,0,0,45,45
atta-flours-sooji-4,FORTUNE CHANA BESAN 1 KG POUCH || S1,Title,Default Title,,,,,43278,,,1 Dombivli East (RKM),0,0,1,12,12
fortune-besan-500-gm-2,FORTUNE BESAN 500 GM || S2,Title,Default Title,,,,,43279,,,2 RKBB 421503 Badlapur Belavali,0,0,0,36,36
fortune-besan-500-gm-3,FORTUNE BESAN 500 GM || S3,Title,Default Title,,,,,43279,,,3- 400612 RKDA - Diva,0,0,0,29,29
fortune-besan-500-gm-1,FORTUNE BESAN 500 GM || S1,Title,Default Title,,,,,43279,,,1 Dombivli East (RKM),0,0,0,14,14
ram-bandhu-mango-pickle-1-kg-2,RAM BANDHU MANGO PICKLE (1 KG) || S2,Title,Default Title,,,,,43368,,,2 RKBB 421503 Badlapur Belavali,0,0,0,26,26
ram-bandhu-mango-pickle-1-kg-3,RAM BANDHU MANGO PICKLE (1 KG) || S3,Title,Default Title,,,,,43368,,,3- 400612 RKDA - Diva,0,0,0,76,76
mixed-pickles-13,RAM BANDHU MIXED PICKLE 500 G || S1,Title,Default Title,,,,,43371,,,1 Dombivli East (RKM),0,0,0,18,18
ram-bandhu-mango-pickle200g-2,RAM BANDHU MANGO PICKLE200G* || S2,Title,Default Title,,,,,43372,,,2 RKBB 421503 Badlapur Belavali,0,0,0,99,99
ram-bandhu-mango-pickle200g-3,RAM BANDHU MANGO PICKLE200G* || S3,Title,Default Title,,,,,43372,,,3- 400612 RKDA - Diva,0,0,0,13,13
ram-bandhu-mango-pickle200g-1,RAM BANDHU MANGO PICKLE200G* || S1,Title,Default Title,,,,,43372,,,1 Dombivli East (RKM),0,0,0,11,11
ram-bandhu-mixed-pickle200g-2,RAM BANDHU MIXED PICKLE 200 GM  || S2,Title,Default Title,,,,,43373,,,2 RKBB 421503 Badlapur Belavali,0,0,0,22,22
