P_CODE,P_NAME,Category,BRAND,Sub-Category,Inv,Listing Status
45848,SENSODYNE FRESH GEL 150GM,DENTAL CARE,G S K,TOOTH PASTE,,
45871,GODREJ AER SPR VIOLET VAL300M,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
45872,GODREJ AER SPR MORNING M300M,CLEANING MATERIAL,GODREJ (CONSUMERS PRODUCT ),AIR/CAR/ROOM FRESHNER,,
45935,CLASSY SPICY TURM POW 500G ,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
45936,CLASSY SPICY CORIAN POW 500G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
45937,CLASSY SPICY CHILLI POW 500G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
45942,CLASSY SPICY CORIANDER 250GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
45943,CLASSY SPICY TURMERIC POW 50G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46016,SUNFEAST ORN MARI BIS 60 GM,BISCUITS/BAKERY,SUNFEAST,BISCUITS,,
46047,PHP APPLE CIDER VINEGAR 500ML,JAM/KETCH-UP/SARBAT,PHONDAGHAT PHARMACY,VINEGAR,,
46080,R.K.B AMCHURA POWDER 100GM,SPICES/MASALA,R.K.BAZAR(TAX),MASALE,,
46221,NIVEA MEN ACT CLEAN S/G 250ML,BATH SOAPS,NIVEA,BODY WASH,,
46225,NIVEA FRANGIPANI&OIL S/G 250G,BATH SOAPS,NIVEA,BODY WASH,,
46244,TEMPTIN SCHEZWAN CHUTNEY250 ,JAM/KETCH-UP/SARBAT,TEMPTIN,SAUCE,,
46314,STREAX WALNUT HAIR SERUM 45ML,HAIR CARE,STREAX,HAIR COLOUR,,
46315,COLGATE ACTIVESALT NEEM 200G,DENTAL CARE,COLGATE,TOOTH PASTE,,
46316,COLGATE ACTIVESALT NEEM 100G,DENTAL CARE,COLGATE,TOOTH PASTE,,
46422,CLASSY SPICY TURMERIC 200GM ,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46424,CLASSY SPICY CHILLI 200GM,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46456,NUTELLA SPREAD WITH COC 180 G,JAM/KETCH-UP/SARBAT,NUTELLA,JAM,,
46494,HIMALAYA NEEM&TUR SOAP 75*4GM,BATH SOAPS,HIMALAYA,BATH SOAP,,
46543,HIMALAYA PURIF NEEM FW 200M ,COSMETICS,HIMALAYA,FACE PACK,,
46589,PAT HER WASH NEEM&SROSE 2 KG,WASHING/DETERGENTS,PATANJALI,WASHING POWDER/DETERGENT,,
46594,PAT NEEM & ROSE DET CAKE 250G,WASHING/DETERGENTS,PATANJALI,WASHING SOAP,,
46595,PATANJALI HALDI-CHAN KNTI150,BATH SOAPS,PATANJALI,BATH SOAP,,
46598,CLASSY-SPI SPL.GARAM MA 100G,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
46601,CLASSY SP KAS CHILLI POW100,SPICES/MASALA,CLASSY SPICY,SPICES & MASALAS BRANDED,,
